"count_code"	"postal_code"	"place_name"	"admin_name1"	"admin_code1"	"admin_name2"	"admin_code2"	"admin_name3"	"admin_code3"	"lattitude"	"longitude"	"accuracy"
"74"	"US"	37205	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1114	-86.869	4
"75"	"US"	37206	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1798	-86.7411	4
"76"	"US"	37207	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.2195	-86.774	4
"77"	"US"	37208	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1762	-86.8076	4
"78"	"US"	37209	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1546	-86.8602	4
"79"	"US"	37210	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1379	-86.741	4
"80"	"US"	37211	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.0725	-86.724	4
"81"	"US"	37212	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1337	-86.8006	4
"82"	"US"	37213	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1663	-86.7669	4
"83"	"US"	37214	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1633	-86.6609	4
"84"	"US"	37215	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.0986	-86.8219	4
"85"	"US"	37216	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.2125	-86.7257	4
"86"	"US"	37217	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1052	-86.6591	4
"87"	"US"	37218	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.2071	-86.8456	4
"88"	"US"	37219	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1678	-86.7837	4
"89"	"US"	37220	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.0641	-86.7697	4
"90"	"US"	37221	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.0662	-86.9639	4
"91"	"US"	37222	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1659	-86.7844	4
"92"	"US"	37224	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1866	-86.7852	4
"93"	"US"	37227	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1866	-86.7852	4
"94"	"US"	37228	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1901	-86.8053	4
"95"	"US"	37229	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1866	-86.7852	4
"96"	"US"	37230	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1866	-86.7852	4
"97"	"US"	37232	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1866	-86.7852	4
"98"	"US"	37234	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1866	-86.7852	4
